Venue Name,Venue Physical Address,Region,Country,Full Address,Latitude,Longitude
Caroline's Boatshed,"181 SOMME PARADE
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"Caroline's Boatshed 181 SOMME PARADE
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.9073846,175.0560263
RED LION INN,"45-47 ANZAC PARADE
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"RED LION INN 45-47 ANZAC PARADE
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.9357595,175.0587544
TAB WANGANUI,"5B PURIRI STREET
GONVILLE
WANGANUI DISTRICT 5001",Manawatu-Wanganui,New Zealand,"TAB WANGANUI 5B PURIRI STREET
GONVILLE
WANGANUI DISTRICT 5001 Manawatu-Wanganui New Zealand ",-39.9414527,175.0220368
ST JOHN'S CLUB,"158 GLASGOW STREET
WANGANUI
WANGANUI DISTRICT 4500
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"ST JOHN'S CLUB 158 GLASGOW STREET
WANGANUI
WANGANUI DISTRICT 4500
NEW ZEALAND Manawatu-Wanganui New Zealand ",-39.925,175.0397222
SPORTZ BAR,"197 VICTORIA AVENUE
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"SPORTZ BAR 197 VICTORIA AVENUE
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.9306084,175.0478045
THE GRAND HOTEL,"99 GUYTON STREET
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"THE GRAND HOTEL 99 GUYTON STREET
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.9324303,175.0491538
WANGANUI EAST CLUB,"101 WAKEFIELD STREET
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"WANGANUI EAST CLUB 101 WAKEFIELD STREET
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.9173165,175.0758331
WANGANUI RSA,"170 ST HILL STREET
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"WANGANUI RSA 170 ST HILL STREET
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.931774,175.047932
BROOKLYN BAR & BISTRO,"55 CLEVELAND STREET
BROOKLYN
WELLINGTON 6002",Wellington,New Zealand,"BROOKLYN BAR & BISTRO 55 CLEVELAND STREET
BROOKLYN
WELLINGTON 6002 Wellington New Zealand ",-41.3053401,174.7638873
One Fat Bird,"162 KARORI ROAD
KARORI
WELLINGTON 6005",Wellington,New Zealand,"One Fat Bird 162 KARORI ROAD
KARORI
WELLINGTON 6005 Wellington New Zealand ",-41.2825168,174.7449661
