name,outlet_type,address,city,region,latitude,longitude
The Workshop,PubTAB Self Service Only,"171 Fairs Road, Milson, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3382567,175.5991566
White Horse Inn Awapuni,PubTAB Self Service Only,"90 State Highway 56, Longburn, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3828696,175.5449511
Palmerston North TAB,TAB Store,"28-32 Fitzherbert Avenue, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3580166,175.612284
Terrace End,TAB Store,"1/328 Broadway Avenue, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3481992,175.6264039
Albert Sports Bar,PubTAB Full Service,"692/700 Main Street East, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3500546,175.625547
Masonic Hotel,PubTAB Full Service,"249 Main Street, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3589609,175.6044387
Palmerston North Cosy,PubTAB Full Service,"20-24 Linton Street, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3593441,175.6104068
Sportsmans Bar,PubTAB Full Service,"215 Featherston Street, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3506342,175.6046085
The Railway Hotel,PubTAB Self Service Only,"275 Main Street, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3584594,175.6056738
Willow Park Tavern,PubTAB Full Service,"820 Tremaine Avenue, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3349594,175.6214426
Papamoa,TAB Store,"Fashion Island Shopping Centre, 38H Gravatt Road, Papamoa Beach, Papamoa, New Zealand",Papamoa,Bay of Plenty,-37.7015787,176.2797471
The Flying Mullet,PubTAB Full Service,"4/38 Gravatt Road, Papamoa Beach, Papamoa, New Zealand",Papamoa,Bay of Plenty,-37.700998,176.2802963
Boundary Tap & Kitchen,PubTAB Full Service,"3 Raumati Road, Raumati Beach, Paraparaumu, New Zealand",Paraparaumu,Wellington,-40.9186331,174.9813974
The Black Stag,PubTAB Full Service,"Kapiti Lights Complex, Amohia Street, Paraparaumu, New Zealand",Paraparaumu,Wellington,-40.9157876,175.0058332
The Pinetree Arms,PubTAB Full Service,"Corner Of McLean Street and Seaview Road, Paraparaumu Beach, Paraparaumu, New Zealand",Paraparaumu,Wellington,-40.8942831,174.9806966
The Jolly Pub & Kitchen,PubTAB Full Service,"93 Mazengarb Road, Paraparaumu, New Zealand",Paraparaumu,Wellington,-40.887238,175.0021225
Crow Tavern,PubTAB Self Service Only,"15 Nelson Square, Picton, New Zealand",Picton,Marlborough,-41.2967653,174.0017093
Sandbar,PubTAB Full Service,"103 Esplanade, Mana, Porirua, New Zealand",Porirua,Wellington,-41.0946329,174.8690747
Cannons Creek Branch,TAB Store,"8 Warspite Avenue, Cannons Creek, Porirua, New Zealand",Porirua,Wellington,-41.1411725,174.8650781
Titahi Bay RSA,ClubTAB Self Service Only,"74 Main Road, Titahi Bay, Porirua, New Zealand",Porirua,Wellington,-41.1086554,174.8402036
Whitby Co-Op Kitchen & Bar,PubTAB Self Service Only,"69A Discovery Drive, Whitby Mall, Porirua, New Zealand",Porirua,Wellington,-41.1173023,174.8932192
The Mariner,PubTAB Self Service Only,"19 Whitehouse Road, Titahi Bay, Porirua, New Zealand",Porirua,Wellington,-41.1087903,174.8377892
Porirua Branch,TAB Store,"2 Serlby Place, Porirua, New Zealand",Porirua,Wellington,-41.1344857,174.8406342
Porirua Club Wgtn,PubTAB Full Service,"1 Lodge Place, Porirua, New Zealand",Porirua,Wellington,-41.1363278,174.8400594
Porirua RSA,PubTAB Self Service Only,"5 McKillop Street, Porirua, New Zealand",Porirua,Wellington,-41.1377622,174.8487716
Mackies Hotel,PubTAB Full Service,"14 George Street, Port Chalmers, New Zealand",Port Chalmers,Dunedin,-45.8154755,170.6216192
Patumahoe Hotel,PubTAB Full Service,"13 Mauku Road, RD 4, Pukekohe, New Zealand",Pukekohe,Auckland,-37.1879192,174.8272732
Franklin Club,PubTAB Full Service,"7 East Street, Pukekohe, New Zealand",Pukekohe,Auckland,-37.2009061,174.9088811
Counties Inn,PubTAB Full Service,"25 Paerata Road, Pukekohe, New Zealand",Pukekohe,Auckland,-37.1887762,174.9022641
Hog and Hounds Putaruru,PubTAB Full Service,"57 Tirau Street, Putaruru, New Zealand",Putaruru,Waikato,-38.0485789,175.7807082
Frankton Arm Tavern,PubTAB Self Service Only,"14 Yewlett Crescent, Wakatipu, Queenstown, New Zealand",Queenstown,Otago,-45.0174667,168.727546
SkyCity Wharf Casino,PubTAB Self Service Only,"88 Beach Street, Steamers Wharf, Queenstown, New Zealand",Queenstown,Otago,-45.0333723,168.6577251
Pig & Whistle,PubTAB Full Service,"41 Ballarat Street, Queenstown, New Zealand",Queenstown,Otago,-45.0315112,168.6623712
SkyCity Queenstown Casino,PubTAB Self Service Only,"16/24 Beach Street, Queenstown, New Zealand",Queenstown,Otago,-45.0318348,168.6602246
Raetihi Cossie Club,ClubTAB Self Service Only,"32 Seddon Street, Raetihi, New Zealand",Raetihi,Manawatu-Wanganui,-39.4273429,175.2798746
Harbour View Hotel,PubTAB Full Service,"14 Bow Street, Raglan, New Zealand",Raglan,Hamilton,-37.7996974,174.8688394
Orca Restaurant & Bar,PubTAB Self Service Only,"2 Wallis Street, Raglan, New Zealand",Raglan,Hamilton,-37.799316,174.8676574
South Rakaia Hotel,PubTAB Self Service Only,"41 Railway Terrace East, Rakaia, New Zealand",Rakaia,Canterbury,-43.7561654,172.0227142
Ranfurly Hotel,PubTAB Self Service Only,"10 Charlemont Street East, Ranfurly, New Zealand",Ranfurly,Otago,-45.1296691,170.0993582
Anglers Arms,PubTAB Self Service Only,"573 Upper Sefton Road, RD 2, Rangiora, New Zealand",Rangiora,Canterbury,-43.2722328,172.6079987
Brook Bar & Eatery,PubTAB Full Service,"16 Southbrook Road, Rangiora, New Zealand",Rangiora,Canterbury,-43.3237212,172.5987574
Mainstreet Sports Bar,PubTAB Self Service Only,"37 High Street, Rangiora, New Zealand",Rangiora,Canterbury,-43.3032969,172.5972893
Plough Hotel,PubTAB Self Service Only,"398 High Street, Rangiora, New Zealand",Rangiora,Canterbury,-43.3046854,172.5839767
Rangiora RSA,ClubTAB Self Service Only,"82 Victoria Street, Rangiora, New Zealand",Rangiora,Canterbury,-43.3046875,172.5959215
Hotel Reefton,PubTAB Full Service,"75 Broadway, Reefton, New Zealand",Reefton,West Coast,-42.1196545,171.8640457
Club Waimea,ClubTAB Self Service Only,"345 Queen Street, Richmond, New Zealand",Richmond,Tasman,-41.3367386,173.1818995
Carriers Arms Hotel,PubTAB Full Service,"96 Palmerston Road, Riverton North, Riverton, New Zealand",Riverton,Southland,-46.3491349,168.0176677
Rock Restaurant & Bar,PubTAB Full Service,"96 Rolleston Drive, Rolleston, New Zealand",Rolleston,Canterbury,-43.5982624,172.3800305
Rongotea Tavern,PubTAB Self Service Only,"47 -51 Thames Street, Rongotea, New Zealand",Rongotea,Manawatu-Wanganui,-40.2933894,175.4273076
Rotorua Club Inc (office),PubTAB Full Service,"1st Floor, Rotorua Racecourse, Fenton Street, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.1468599,176.2537285
Village Sports Bar & Cafe,PubTAB Full Service,"262 Ngongotaha Road, Ngongotaha, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.0816754,176.2127373
Ruck & Maul Rotorua,PubTAB Full Service,"5 Panui Road, Koutu, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.1259757,176.2411146
Mitchell Downs,PubTAB Full Service,"12 Goldie Street, Pukehangi, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.1385124,176.2059997
Four Winds Tavern Rotorua,PubTAB Self Service Only,"2 Owhata Road, Owhata, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.1333369,176.295698
Jay Bar and Liquor Centre,PubTAB Self Service Only,"2 Brookland Road, Western Heights, Rotorua, New Zealand",Rotorua,Bay of Plenty,-38.1292774,176.2196149
